App,Perf,Arg,Timestamp,scheduler idle,scheduler stalls,ibuffer stalls,scoreboard stalls,operands stalls,ifetches,loads,stores,ifetch latency,load latency,instrs,Timestamp
vecadd,1,-n16,2025-03-30T04:53:49.632364,14307 (92%),1 (0%),367 (2%),"1585 (10%) (alu=62%, fpu=0%, lsu=29%, csrs=7%, wctl=0%)",64 (0%),1183,631,1239,27 cycles,50 cycles,"6893, cycles=15398, IPC=0.447656",2025-03-30T04:53:49.632364
vecadd,1,-n32,2025-03-30T04:53:51.050382,16763 (92%),1 (0%),1069 (5%),"1974 (10%) (alu=58%, fpu=0%, lsu=36%, csrs=4%, wctl=0%)",76 (0%),1375,1047,1497,32 cycles,43 cycles,"8373, cycles=18046, IPC=0.463981",2025-03-30T04:53:51.050382
vecadd,1,-n64,2025-03-30T04:53:52.518874,17232 (92%),1 (0%),1701 (9%),"2332 (12%) (alu=52%, fpu=1%, lsu=42%, csrs=3%, wctl=0%)",88 (0%),1540,1463,1625,29 cycles,35 cycles,"9686, cycles=18680, IPC=0.518523",2025-03-30T04:53:52.518874
vecadd,1,-n128,2025-03-30T04:53:54.056709,18492 (91%),1 (0%),2883 (14%),"3854 (19%) (alu=52%, fpu=2%, lsu=43%, csrs=1%, wctl=0%)",112 (0%),1868,2295,1881,27 cycles,28 cycles,"12310, cycles=20268, IPC=0.607361",2025-03-30T04:53:54.056709
vecadd,2,-n16,2025-03-30T04:53:55.343727,coalescer misses=1208 (hit ratio=19%),"1518 (reads=368, writes=1150)",56 cycles,0 (utilization=100%),"6893, cycles=15398, IPC=0.447656",2025-03-30T04:53:55.343727
vecadd,2,-n32,2025-03-30T04:53:56.765265,coalescer misses=1544 (hit ratio=20%),"1823 (reads=441, writes=1382)",56 cycles,0 (utilization=100%),"8373, cycles=18046, IPC=0.463981",2025-03-30T04:53:56.765265
vecadd,2,-n64,2025-03-30T04:53:58.236122,coalescer misses=1672 (hit ratio=21%),"1903 (reads=429, writes=1474)",59 cycles,0 (utilization=100%),"9686, cycles=18680, IPC=0.518523",2025-03-30T04:53:58.236122
vecadd,2,-n128,2025-03-30T04:53:59.784247,coalescer misses=1928 (hit ratio=23%),"2098 (reads=440, writes=1658)",60 cycles,0 (utilization=100%),"12310, cycles=20268, IPC=0.607361",2025-03-30T04:53:59.784247
vecadd,3,-n16,2025-03-30T04:54:01.074389,75%,"6893, cycles=15398, IPC=0.447656",2025-03-30T04:54:01.074389
vecadd,3,-n32,2025-03-30T04:54:02.514389,78%,"8373, cycles=18046, IPC=0.463981",2025-03-30T04:54:02.514389
vecadd,3,-n64,2025-03-30T04:54:03.957090,80%,"9686, cycles=18680, IPC=0.518523",2025-03-30T04:54:03.957090
vecadd,3,-n128,2025-03-30T04:54:05.495207,84%,"12310, cycles=20268, IPC=0.607361",2025-03-30T04:54:05.495207
demo,1,-n16,2025-03-30T04:54:06.777555,20964 (92%),1 (0%),4821 (21%),"4996 (21%) (alu=35%, fpu=0%, lsu=63%, csrs=1%, wctl=0%)",140 (0%),1874,1903,2001,30 cycles,46 cycles,"12652, cycles=22745, IPC=0.556254",2025-03-30T04:54:06.777555
demo,1,-n32,2025-03-30T04:54:08.297150,24746 (91%),1 (0%),8215 (30%),"8791 (32%) (alu=32%, fpu=0%, lsu=66%, csrs=0%, wctl=0%)",204 (0%),2450,2927,2513,28 cycles,39 cycles,"17260, cycles=27103, IPC=0.636830",2025-03-30T04:54:08.297150
